source_block,dataset,model,feature_set,mean_full_pool_mape,n_feature_trials,best_acquisition,best_median_relative_improvement_pct,best_representative_trial,best_representative_relative_improvement_pct,worst_acquisition,worst_median_relative_improvement_pct,worst_representative_trial,worst_representative_relative_improvement_pct,random_acquisition,panel_a_labelled_n,panel_a_labelled_fraction,best_operational_labelled_n,worst_operational_labelled_n,embedding_reference_trial,panel_c_endpoint_labelled_fraction,index,source_index,cell_name,lifetime,split_assignment,embedding_x,embedding_y,best_selected,worst_selected,best_trial_pool,worst_trial_pool,selection_membership,role,acquisition,nominal_fraction,plot_fraction,mape_mean,mape_min,mape_max,mape_sd,n_trials,labelled_n,achieved_fraction,mape_sem,signed_error_grid,density_mean,density_sem,bandwidth,n_holdout_samples,trial,pool_n,fraction_distance,panel,panel_c_endpoint_fraction
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,17.0,17.0,3-3,1649.0,pool,0.7456701711007551,0.18511124181960062,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,18.0,18.0,3-4,1766.0,pool,0.31229496292313214,0.9030527298403398,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,19.0,19.0,3-5,2657.0,pool,0.38675669468852014,0.5455882922961296,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,20.0,20.0,3-6,2491.0,pool,0.721499799715825,0.2221383807349695,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,21.0,21.0,3-7,2479.0,pool,0.7746683948055348,0.8840733720464972,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,22.0,22.0,3-8,2342.0,pool,0.6724356462544387,0.3344143695609771,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,23.0,23.0,4-1,2217.0,pool,0.17739508600366521,0.8737664185393643,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,24.0,24.0,4-2,1782.0,pool,0.4121122201247362,0.1817947031972643,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,25.0,25.0,4-3,1142.0,pool,0.7178624892843445,0.9723403311934478,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,26.0,26.0,4-4,1491.0,pool,0.8116022875974004,0.9748437272583109,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,27.0,27.0,4-5,1561.0,pool,0.29100419976448155,0.7525526874167331,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,28.0,28.0,4-6,1380.0,pool,0.4411805873211074,0.9431280716012514,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,29.0,29.0,4-7,2216.0,pool,0.26743239098004823,0.5529117801007881,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,30.0,30.0,4-8,1706.0,pool,0.5932849712994094,0.10207561432662188,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,31.0,31.0,5-1,2507.0,holdout,0.17284657579419777,0.6274678019186937,False,False,False,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,32.0,32.0,5-2,1926.0,pool,0.8780193763399318,0.05209902293112491,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,33.0,33.0,5-3,2689.0,holdout,0.6572323685255362,0.5803970229779452,False,False,False,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,34.0,34.0,5-4,1962.0,pool,0.6077828847609282,0.857382865033821,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,35.0,35.0,5-5,1583.0,pool,0.8604013720062016,0.07494901166974476,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
