dataset,feature_set,model,acquisition,early_gain_pp,sd_trial_gain_pp,n_trials,n_checkpoint_values,max_checkpoint_values,attainable_gain_pp,attainable_gain_centered,intercept_at_mean_gain,slope_gain_per_pp,n_configurations,attainable_gain_mean_pp,interaction_partial_r2,moderation_fitted_pp
Formation,set1_dQn_m,AE_ENet,coverage,-0.4355550200175526,0.7453527183227505,10,6,6,6.996903502267388,-9.145585232178545,4.019452353624456,0.5831813639572285,120,16.142488734445934,0.3778961147089469,-1.3140825162645113
Formation,set1_dQn_m,AE_ENet,diversity_iterative,0.59426811296802,2.0293174636046056,10,6,6,6.996903502267388,-9.145585232178545,3.0912719493565546,0.5116386206755128,120,16.142488734445934,0.3778961147089469,-1.5879626641056148
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,-0.14071713187653961,1.2461039228905075,10,6,6,6.996903502267388,-9.145585232178545,4.713809288918485,0.6352953387839664,120,16.142488734445934,0.3778961147089469,-1.0963383795360264
Formation,set1_dQn_m,AE_ENet,exploitation,-0.7133456246314813,1.8422341313822832,10,6,6,6.996903502267388,-9.145585232178545,-3.323658715724115,-0.29751032225972596,120,16.142488734445934,0.3778961147089469,-0.6027527060448823
Formation,set1_dQn_m,AE_ENet,exploration,-0.6678948251117975,1.1440782428108658,10,6,6,6.996903502267388,-9.145585232178545,3.1146568669506514,0.4917658276581851,120,16.142488734445934,0.3778961147089469,-1.3828294241701031
Formation,set1_dQn_m,AE_ENet,hybrid,-0.6573097330989472,1.0273752741520552,10,6,6,6.996903502267388,-9.145585232178545,4.190351839609885,0.5589606246632357,120,16.142488734445934,0.3778961147089469,-0.9216701946794956
Formation,set1_dQn_m,GPR,coverage,0.5344525163297362,1.1750291228316267,10,6,6,7.600067345308673,-8.54242138913726,4.019452353624456,0.5831813639572285,120,16.142488734445934,0.3778961147089469,-0.9623286035900112
Formation,set1_dQn_m,GPR,diversity_iterative,1.1141890960046887,1.434395451947443,10,6,6,7.600067345308673,-8.54242138913726,3.0912719493565546,0.5116386206755128,120,16.142488734445934,0.3778961147089469,-1.2793607474106303
Formation,set1_dQn_m,GPR,diversity_oneshot,0.746614298508802,0.9458447824558649,10,6,6,7.600067345308673,-8.54242138913726,4.713809288918485,0.6352953387839664,120,16.142488734445934,0.3778961147089469,-0.7131512015288737
Formation,set1_dQn_m,GPR,exploitation,-0.19559596281214287,0.9054739704810508,10,6,6,7.600067345308673,-8.54242138913726,-3.323658715724115,-0.29751032225972596,120,16.142488734445934,0.3778961147089469,-0.7822001753635099
Formation,set1_dQn_m,GPR,exploration,0.9739807415399234,1.4351511590117965,10,6,6,7.600067345308673,-8.54242138913726,3.1146568669506514,0.4917658276581851,120,16.142488734445934,0.3778961147089469,-1.086214057683414
Formation,set1_dQn_m,GPR,hybrid,0.15840923454800265,0.8894392503170173,10,6,6,7.600067345308673,-8.54242138913726,4.190351839609885,0.5589606246632357,120,16.142488734445934,0.3778961147089469,-0.5845253561988604
Formation,set1_dQn_m,RF,coverage,0.26879580616824345,1.0559439582414378,10,6,6,4.082151439954275,-12.060337294491658,4.019452353624456,0.5831813639572285,120,16.142488734445934,0.3778961147089469,-3.0139115995614167
Formation,set1_dQn_m,RF,diversity_iterative,0.6236487850296554,1.2629976898077766,10,6,6,4.082151439954275,-12.060337294491658,3.0912719493565546,0.5116386206755128,120,16.142488734445934,0.3778961147089469,-3.079262388878602
Formation,set1_dQn_m,RF,diversity_oneshot,0.32488255192958604,0.7579423448763563,10,6,6,4.082151439954275,-12.060337294491658,4.713809288918485,0.6352953387839664,120,16.142488734445934,0.3778961147089469,-2.9480667784345007
Formation,set1_dQn_m,RF,exploitation,-0.0396646858400332,2.2448175741424055,10,6,6,4.082151439954275,-12.060337294491658,-3.323658715724115,-0.29751032225972596,120,16.142488734445934,0.3778961147089469,0.2644161193210932
Formation,set1_dQn_m,RF,exploration,-0.28091360812135785,1.3707623752772249,10,6,6,4.082151439954275,-12.060337294491658,3.1146568669506514,0.4917658276581851,120,16.142488734445934,0.3778961147089469,-2.8162048845119125
