factor,grouped_contribution_pp,full_model_r2,reduced_model_r2
Dataset,67.63356340251555,0.7725151407536776,0.09617950672852205
Feature,4.457924164668226,0.7725151407536776,0.7279358991069953
Model,10.183831008670918,0.7725151407536776,0.6706768306669684
Acquisition,27.972211896819864,0.7725151407536776,0.4927930217854789
