dataset,feature_set,model,trial,acquisition,labelled_n,pool_n,holdout_mape,budget_total,labelled_fraction,b0_labelled_n,early_alc_eligible
Formation,set1_dQn_m,GPR,1,exploration,108,146,11.792728481882348,108,0.7397260273972602,12,False
Formation,set1_dQn_m,GPR,1,exploration,120,146,11.148234958373472,120,0.821917808219178,12,False
Formation,set1_dQn_m,GPR,1,exploration,132,146,11.432314243884168,132,0.9041095890410958,12,False
Formation,set1_dQn_m,GPR,1,exploration,144,146,11.200510133226944,144,0.9863013698630136,12,False
Formation,set1_dQn_m,GPR,1,exploration,146,146,11.321053304348238,146,1.0,12,False
Formation,set1_dQn_m,GPR,1,exploitation,12,146,14.319053802295048,12,0.0821917808219178,12,False
Formation,set1_dQn_m,GPR,1,exploitation,24,146,13.17433181759525,24,0.1643835616438356,12,True
Formation,set1_dQn_m,GPR,1,exploitation,36,146,13.083493112684556,36,0.2465753424657534,12,True
Formation,set1_dQn_m,GPR,1,exploitation,48,146,13.109032446229463,48,0.3287671232876712,12,True
Formation,set1_dQn_m,GPR,1,exploitation,60,146,12.858082835777664,60,0.410958904109589,12,True
Formation,set1_dQn_m,GPR,1,exploitation,72,146,12.51321506156664,72,0.4931506849315068,12,True
Formation,set1_dQn_m,GPR,1,exploitation,84,146,12.361004728619823,84,0.5753424657534246,12,True
Formation,set1_dQn_m,GPR,1,exploitation,96,146,12.998085347995318,96,0.6575342465753424,12,False
Formation,set1_dQn_m,GPR,1,exploitation,108,146,12.77060249284464,108,0.7397260273972602,12,False
Formation,set1_dQn_m,GPR,1,exploitation,120,146,13.151756713746607,120,0.821917808219178,12,False
Formation,set1_dQn_m,GPR,1,exploitation,132,146,11.196541141590142,132,0.9041095890410958,12,False
Formation,set1_dQn_m,GPR,1,exploitation,144,146,11.254326683260397,144,0.9863013698630136,12,False
Formation,set1_dQn_m,GPR,1,exploitation,146,146,11.321053304348238,146,1.0,12,False
Formation,set1_dQn_m,GPR,1,hybrid,12,146,14.319053802295048,12,0.0821917808219178,12,False
Formation,set1_dQn_m,GPR,1,hybrid,24,146,14.66291098759745,24,0.1643835616438356,12,True
Formation,set1_dQn_m,GPR,1,hybrid,36,146,12.611263484993952,36,0.2465753424657534,12,True
Formation,set1_dQn_m,GPR,1,hybrid,48,146,12.720565559815675,48,0.3287671232876712,12,True
Formation,set1_dQn_m,GPR,1,hybrid,60,146,12.848431453916067,60,0.410958904109589,12,True
Formation,set1_dQn_m,GPR,1,hybrid,72,146,13.03672895560537,72,0.4931506849315068,12,True
Formation,set1_dQn_m,GPR,1,hybrid,84,146,13.486789124957422,84,0.5753424657534246,12,True
Formation,set1_dQn_m,GPR,1,hybrid,96,146,13.10227551637727,96,0.6575342465753424,12,False
Formation,set1_dQn_m,GPR,1,hybrid,108,146,12.488312260282576,108,0.7397260273972602,12,False
Formation,set1_dQn_m,GPR,1,hybrid,120,146,11.481629773665182,120,0.821917808219178,12,False
Formation,set1_dQn_m,GPR,1,hybrid,132,146,11.296861079659998,132,0.9041095890410958,12,False
Formation,set1_dQn_m,GPR,1,hybrid,144,146,11.229713122468768,144,0.9863013698630136,12,False
Formation,set1_dQn_m,GPR,1,hybrid,146,146,11.321053304348238,146,1.0,12,False
Formation,set1_dQn_m,RF,1,random_selection,12,146,13.494092097465838,12,0.0821917808219178,12,False
Formation,set1_dQn_m,RF,1,random_selection,24,146,13.505580324649657,24,0.1643835616438356,12,True
Formation,set1_dQn_m,RF,1,random_selection,36,146,15.917243207482931,36,0.2465753424657534,12,True
Formation,set1_dQn_m,RF,1,random_selection,48,146,10.328487767232955,48,0.3287671232876712,12,True
Formation,set1_dQn_m,RF,1,random_selection,60,146,11.027162545343923,60,0.410958904109589,12,True
Formation,set1_dQn_m,RF,1,random_selection,72,146,10.618347341543997,72,0.4931506849315068,12,True
Formation,set1_dQn_m,RF,1,random_selection,84,146,10.485901565227351,84,0.5753424657534246,12,True
Formation,set1_dQn_m,RF,1,random_selection,96,146,10.066110697586035,96,0.6575342465753424,12,False
Formation,set1_dQn_m,RF,1,random_selection,108,146,10.762921244473969,108,0.7397260273972602,12,False
Formation,set1_dQn_m,RF,1,random_selection,120,146,11.04665249872484,120,0.821917808219178,12,False
Formation,set1_dQn_m,RF,1,random_selection,132,146,10.193896977645862,132,0.9041095890410958,12,False
Formation,set1_dQn_m,RF,1,random_selection,144,146,10.571252402574949,144,0.9863013698630136,12,False
Formation,set1_dQn_m,RF,1,random_selection,146,146,10.124466910966762,146,1.0,12,False
Formation,set1_dQn_m,RF,1,diversity_oneshot,12,146,14.236426039183469,12,0.0821917808219178,12,False
Formation,set1_dQn_m,RF,1,diversity_oneshot,24,146,13.21810326411601,24,0.1643835616438356,12,True
Formation,set1_dQn_m,RF,1,diversity_oneshot,36,146,12.064100007375982,36,0.2465753424657534,12,True
Formation,set1_dQn_m,RF,1,diversity_oneshot,48,146,12.046943909790992,48,0.3287671232876712,12,True
Formation,set1_dQn_m,RF,1,diversity_oneshot,60,146,11.278297896098078,60,0.410958904109589,12,True
Formation,set1_dQn_m,RF,1,diversity_oneshot,72,146,11.201825707459369,72,0.4931506849315068,12,True
Formation,set1_dQn_m,RF,1,diversity_oneshot,84,146,11.301552017412742,84,0.5753424657534246,12,True
Formation,set1_dQn_m,RF,1,diversity_oneshot,96,146,11.03244281402395,96,0.6575342465753424,12,False
Formation,set1_dQn_m,RF,1,diversity_oneshot,108,146,10.73435450569216,108,0.7397260273972602,12,False
Formation,set1_dQn_m,RF,1,diversity_oneshot,120,146,10.917728449866413,120,0.821917808219178,12,False
Formation,set1_dQn_m,RF,1,diversity_oneshot,132,146,10.695590216530618,132,0.9041095890410958,12,False
Formation,set1_dQn_m,RF,1,diversity_oneshot,144,146,10.130965780368062,144,0.9863013698630136,12,False
Formation,set1_dQn_m,RF,1,diversity_oneshot,146,146,10.124466910966762,146,1.0,12,False
Formation,set1_dQn_m,RF,1,diversity_iterative,12,146,14.236426039183469,12,0.0821917808219178,12,False
Formation,set1_dQn_m,RF,1,diversity_iterative,24,146,13.276004274447562,24,0.1643835616438356,12,True
Formation,set1_dQn_m,RF,1,diversity_iterative,36,146,12.28509555707567,36,0.2465753424657534,12,True
Formation,set1_dQn_m,RF,1,diversity_iterative,48,146,11.524336733398638,48,0.3287671232876712,12,True
Formation,set1_dQn_m,RF,1,diversity_iterative,60,146,11.398086262078689,60,0.410958904109589,12,True
