acquisition,mean_early_gain_pp,median_early_gain_pp,q25_early_gain_pp,q75_early_gain_pp,positive_configuration_fraction,n_configurations
coverage,4.019452353624469,0.4206755802059161,-0.43676367791603615,1.7937885679728378,0.625,120
diversity_iterative,3.091271949356559,0.2208606077445554,-1.0041014040492373,1.6471962789325474,0.5416666666666666,120
diversity_oneshot,4.713809288918489,0.7172879544610111,-0.19334498192867514,1.9342779205015281,0.7083333333333334,120
exploitation,-3.323658715724103,-1.48639936991579,-3.7774466020695403,-0.1474504309387279,0.19166666666666668,120
exploration,3.1146568669506323,0.24385264651134048,-0.6706012015946063,1.3983222383877956,0.55,120
hybrid,4.190351839609875,0.6682074034767109,-0.3373049247120393,1.9582654044787398,0.6916666666666667,120
