dataset,feature_set,model,acquisition,mean_relative_improvement_pct,median_relative_improvement_pct,q25_relative_improvement_pct,q75_relative_improvement_pct,mean_delta_alc_mape,median_delta_alc_mape,mean_absolute_alc_mape,mean_baseline_alc_mape,n_trials
Formation,set1_dQn_m,AE_ENet,coverage,-3.667022975363996,-3.496459003192574,-7.965216984256667,-0.838274726388403,-0.42906985410766013,-0.46984688722755674,12.539357198010666,12.110287343903007,10
Formation,set1_dQn_m,AE_ENet,diversity_iterative,5.513252565182646,9.776794368428309,-1.7566676496813995,13.85502304557113,0.6956210554074124,1.192724514958548,11.414666288495594,12.110287343903007,10
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,-0.6659243783967743,-0.7055193292634778,-4.154810889351709,2.4223070938256193,-0.103714781287694,-0.08831563953135824,12.2140021251907,12.110287343903007,10
Formation,set1_dQn_m,AE_ENet,exploitation,-5.291171187660108,-7.066731124122061,-10.424947014193409,2.1108374349839347,-0.6692576958739653,-0.8074677111249118,12.779545039776973,12.110287343903007,10
Formation,set1_dQn_m,AE_ENet,exploration,-6.283466962492458,-4.54256448316999,-7.6139048757704355,0.8419796334947302,-0.7438896879731814,-0.5051879361241527,12.854177031876187,12.110287343903007,10
Formation,set1_dQn_m,AE_ENet,hybrid,-5.516072739197687,-5.546201080661741,-9.053708672312109,-0.9898828883081034,-0.6663392305237773,-0.6906224695919692,12.776626574426784,12.110287343903007,10
Formation,set1_dQn_m,AE_ENet,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,12.110287343903007,12.110287343903007,10
Formation,set1_dQn_m,GPR,coverage,3.0885777876626066,6.298145183111947,-2.938320268946354,8.043738351602869,0.46909399697001375,0.7448843036858257,13.3341629371822,13.803256934152213,10
Formation,set1_dQn_m,GPR,diversity_iterative,7.819351000361111,7.456861701368776,-1.2690122732767573,12.127821328933004,1.0902530539057427,0.9831024201666168,12.713003880246472,13.803256934152213,10
Formation,set1_dQn_m,GPR,diversity_oneshot,5.096742017639007,4.902588357803304,2.170850525897918,9.042163535135513,0.701628693490942,0.7816414930578031,13.101628240661274,13.803256934152213,10
Formation,set1_dQn_m,GPR,exploitation,-2.7423903271226813,-2.3860915633043565,-6.047253594409764,1.1168948108281098,-0.3485784907306618,-0.35940718700272445,14.151835424882876,13.803256934152213,10
Formation,set1_dQn_m,GPR,exploration,6.07554789729425,7.290088791154337,-1.769179815645927,13.549584801406697,0.8819471281211604,0.8606621547275344,12.921309806031053,13.803256934152213,10
Formation,set1_dQn_m,GPR,hybrid,1.246627161852301,1.6952063267867046,-4.409551154163721,6.210007051762123,0.22879226576552725,0.2079433349264317,13.574464668386687,13.803256934152213,10
Formation,set1_dQn_m,GPR,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,13.803256934152213,13.803256934152213,10
Formation,set1_dQn_m,RF,coverage,2.3007479867831244,0.3648625439036455,-4.113804643328576,6.718161060427714,0.4131884521586956,0.12163836759770064,14.318651159046084,14.73183961120478,10
Formation,set1_dQn_m,RF,diversity_iterative,3.965420730523937,2.8951105811195785,0.7258192149975499,9.21960277818078,0.7313849380832474,0.4187810016732749,14.00045467312153,14.73183961120478,10
Formation,set1_dQn_m,RF,diversity_oneshot,2.3035002610882036,1.1669264237979164,-0.4068745552222685,3.0231442562089574,0.4031937820367496,0.16608428092404193,14.32864582916803,14.73183961120478,10
Formation,set1_dQn_m,RF,exploitation,-1.0184398088779443,-3.596461713089698,-10.616320163322763,5.451494632776686,-0.08684267510961963,-0.43295717785278587,14.818682286314399,14.73183961120478,10
Formation,set1_dQn_m,RF,exploration,-1.7020100542503225,-3.4465856168660265,-7.805215984400116,5.9802307094198,-0.26950632853660944,-0.41134513189927446,15.001345939741388,14.73183961120478,10
Formation,set1_dQn_m,RF,hybrid,2.358418942763676,2.6052572874644913,-3.6668030258784468,6.949073582117563,0.41921540423067116,0.4280999409805437,14.312624206974107,14.73183961120478,10
