dataset,feature_set,model,acquisition,trial,alc_area_mape_fraction,alc_mape,start_fraction,end_fraction,fraction_span,n_checkpoints,early_max_fraction,excluded_initial_checkpoint,initial_mape,final_mape
KIT,set3_features,RF,coverage,4,8.157340448045844,22.432686232126073,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,32.97471626423484,16.9643157308404
KIT,set3_features,RF,coverage,5,8.41328767036081,23.136541093492234,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,19.958266141814736,26.091531719782857
KIT,set3_features,RF,coverage,6,7.855469494588651,21.602541110118793,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,16.755062596612404,20.68391957409352
KIT,set3_features,RF,coverage,7,11.251261087407942,30.940967990371842,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,36.07145324481335,31.003125503991747
KIT,set3_features,RF,coverage,8,8.916045932212324,24.519126313583893,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,28.43954720985516,24.780975946801416
KIT,set3_features,RF,coverage,9,8.536790314032844,23.476173363590323,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,38.13700461931077,18.630602396960377
KIT,set3_features,RF,coverage,10,11.4028451584114,31.357824185631355,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,16.171592479337473,38.76381151119255
KIT,set3_features,RF,diversity_iterative,1,9.249299477194686,25.43557356228539,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,26.23704654847201,25.4822938024976
KIT,set3_features,RF,diversity_iterative,2,8.789287461502012,24.170540519130533,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,29.67000696558894,16.842474815500324
KIT,set3_features,RF,diversity_iterative,3,7.982870262937587,21.95289322307837,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,26.244385221043917,20.79985353168983
KIT,set3_features,RF,diversity_iterative,4,11.551765613712995,31.76735543771074,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,27.313309606601106,16.68700988294728
KIT,set3_features,RF,diversity_iterative,5,7.641280266297602,21.01352073231841,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,15.687240234606284,22.74613872025737
KIT,set3_features,RF,diversity_iterative,6,6.856816865906465,18.85624638124278,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,14.07208580378386,20.42593165965421
KIT,set3_features,RF,diversity_iterative,7,8.1877532089092,22.516321324500304,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,29.153041227720124,20.988560292807797
KIT,set3_features,RF,diversity_iterative,8,9.968393058963281,27.413080912149027,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,35.46576738382755,26.62767260594736
KIT,set3_features,RF,diversity_iterative,9,11.931586323082456,32.81186238847676,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,30.46494160880871,14.01914197635935
KIT,set3_features,RF,diversity_iterative,10,10.936180939871912,30.074497584647762,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,18.370524826881702,31.58575605178056
KIT,set3_features,RF,diversity_oneshot,1,8.728412855907642,24.003135353746018,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,23.30406700686348,25.321240433597765
KIT,set3_features,RF,diversity_oneshot,2,10.32496448021706,28.39365232059692,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,25.910779596177008,36.47152602330039
KIT,set3_features,RF,diversity_oneshot,3,7.055257876826078,19.401959161271716,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,25.68628364232248,11.673828138773487
KIT,set3_features,RF,diversity_oneshot,4,8.384585034618913,23.057608845202015,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,24.853189918734103,25.22626600503716
KIT,set3_features,RF,diversity_oneshot,5,8.652774659404724,23.795130313362993,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,18.607516091605973,35.30957698788666
KIT,set3_features,RF,diversity_oneshot,6,9.46002568895216,26.01507064461844,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,31.120825180682026,23.56169183725589
KIT,set3_features,RF,diversity_oneshot,7,7.519449931953737,20.67848731287278,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,24.2262229849544,20.897049059014613
KIT,set3_features,RF,diversity_oneshot,8,9.811876555165878,26.982660526706166,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,28.518100700809747,24.69295422960818
KIT,set3_features,RF,diversity_oneshot,9,7.058116771724652,19.409821122242796,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,28.31412412364723,13.95893529089346
KIT,set3_features,RF,diversity_oneshot,10,8.954257431045933,24.62420793537632,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,25.285945884421785,25.138556435066928
KIT,set3_features,RF,exploitation,1,8.549638831451333,23.511506786491168,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,33.63615722273261,18.094099695900777
KIT,set3_features,RF,exploitation,2,9.84866157326989,27.0838193264922,0.18181818181818182,0.5454545454545454,0.3636363636363636,5,0.6,True,30.03752928422904,24.679158785339883
