acquisition,positive_fraction,at_least_5pct_improvement_fraction,best_fraction,within_5pp_best_fraction,n_positive,n_at_least_5pct_improvement,n_best,n_configurations
coverage,0.55,0.2833333333333333,0.11666666666666667,0.5083333333333333,66,34,14,120
diversity_iterative,0.4083333333333333,0.24166666666666667,0.15,0.36666666666666664,49,29,18,120
diversity_oneshot,0.6083333333333333,0.325,0.21666666666666667,0.6083333333333333,73,39,26,120
exploitation,0.13333333333333333,0.025,0.06666666666666667,0.18333333333333332,16,3,8,120
exploration,0.5083333333333333,0.225,0.125,0.4083333333333333,61,27,15,120
hybrid,0.625,0.30833333333333335,0.19166666666666668,0.55,75,37,23,120
random_selection,0.0,0.0,0.13333333333333333,0.49166666666666664,0,0,16,120
