dataset,feature_set,model,acquisition,trial,alc_area_mape_fraction,alc_mape,start_fraction,end_fraction,fraction_span,n_checkpoints,early_max_fraction,excluded_initial_checkpoint,initial_mape,final_mape,baseline_alc_mape,baseline_acquisition,delta_alc_mape,relative_improvement_pct,relative_direction
Formation,set1_dQn_m,AE_ENet,coverage,1,4.88502843405437,11.886902522865634,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.558215560971693,12.145160163507343,11.801472321329339,random_selection,-0.08543020153629577,-0.7238944363060011,worse_or_equal
Formation,set1_dQn_m,AE_ENet,coverage,2,6.788290015426902,16.51817237087213,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,19.76182409160819,14.037832477212822,16.039417493116687,random_selection,-0.478754877755442,-2.984864493744237,worse_or_equal
Formation,set1_dQn_m,AE_ENet,coverage,3,4.551645955734836,11.075671825621434,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.336322376591188,9.11218657972322,11.464873311301599,random_selection,0.38920148568016444,3.3947299295187645,improved
Formation,set1_dQn_m,AE_ENet,coverage,4,4.708487111282955,11.457318637455192,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.376334168531894,10.091786673060565,10.520836236399195,random_selection,-0.9364824010559971,-8.90121640536544,worse_or_equal
Formation,set1_dQn_m,AE_ENet,coverage,5,4.91558499667334,11.961256825238461,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.790271340325402,11.607173168522898,11.50031792853879,random_selection,-0.4609388966996715,-4.008053512640911,worse_or_equal
Formation,set1_dQn_m,AE_ENet,coverage,6,4.518182627256429,10.994244392990645,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.85567241646416,10.561309503187218,10.455054371652343,random_selection,-0.5391900213383014,-5.157218720930349,worse_or_equal
Formation,set1_dQn_m,AE_ENet,coverage,7,6.125340587966091,14.90499543071749,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,18.440042931132258,13.698959266637448,13.39387676126489,random_selection,-1.5111186694525998,-11.28216047069178,worse_or_equal
Formation,set1_dQn_m,AE_ENet,coverage,8,5.2924678949343535,12.878338544340261,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.14556247469446,11.336102897390298,11.392419146526953,random_selection,-1.4859193978133085,-13.043054145934404,worse_or_equal
Formation,set1_dQn_m,AE_ENet,coverage,9,4.71699937432269,11.47803181085188,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,16.393138701059346,11.20515464830392,11.344011885156444,random_selection,-0.1340199256954353,-1.1814155966356081,worse_or_equal
Formation,set1_dQn_m,AE_ENet,coverage,10,5.029577925679538,12.238639619153544,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.663512497565655,12.067165506913888,13.19059398374383,random_selection,0.9519543645902857,7.216918099090004,improved
Formation,set1_dQn_m,AE_ENet,diversity_iterative,1,5.083980323995277,12.37101878838851,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.30920017154168,11.368015808908972,11.801472321329339,random_selection,-0.5695464670591708,-4.826062812771281,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_iterative,2,5.717463286107892,13.91249399619587,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,16.630396039458127,14.90821594515969,16.039417493116687,random_selection,2.126923496920817,13.260603122486126,improved
Formation,set1_dQn_m,AE_ENet,diversity_iterative,3,3.9159900224085833,9.528909054527553,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,9.707562881673413,8.81380517587651,11.464873311301599,random_selection,1.9359642567740458,16.886050148200525,improved
Formation,set1_dQn_m,AE_ENet,diversity_iterative,4,3.9998104628453417,9.732872126256998,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.88420984676155,8.836748263554053,10.520836236399195,random_selection,0.7879641101421964,7.489557792146385,improved
Formation,set1_dQn_m,AE_ENet,diversity_iterative,5,4.155992882835538,10.112916014899811,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.488480614249328,9.9772117335419,11.50031792853879,random_selection,1.3874019136389784,12.06403094471023,improved
Formation,set1_dQn_m,AE_ENet,diversity_iterative,6,2.983066789729171,7.25879585500765,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,8.61756995433629,7.488338209954438,10.455054371652343,random_selection,3.1962585166446935,30.57141936354702,improved
Formation,set1_dQn_m,AE_ENet,diversity_iterative,7,5.09417656643292,12.395829644986772,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,17.97308879903775,12.17872023692952,13.39387676126489,random_selection,0.9980471162781175,7.451517839588245,improved
Formation,set1_dQn_m,AE_ENet,diversity_iterative,8,6.295746878817133,15.319650738455024,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,18.08307150660337,14.239779811014447,11.392419146526953,random_selection,-3.927231591928072,-34.47232358129407,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_iterative,9,5.004360969175436,12.177278358326895,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,15.79673968386182,11.00991665338182,11.344011885156444,random_selection,-0.8332664731704504,-7.345430184719512,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_iterative,10,4.6589993046209015,11.336898307910861,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.180770183968328,12.582200916829434,13.19059398374383,random_selection,1.8536956758329683,14.053163019932798,improved
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,1,4.8875690394492075,11.893084662659739,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.167379809215891,11.53981729242524,11.801472321329339,random_selection,-0.09161234133039997,-0.776278915341985,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,2,6.925668266310094,16.85245944802123,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,19.27917275153804,15.404512900245916,16.039417493116687,random_selection,-0.8130419549045413,-5.069024203986573,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,3,3.935340438345507,9.575995066640735,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.56948999327625,9.01536855350785,11.464873311301599,random_selection,1.888878244660864,16.475352089576827,improved
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,4,4.384688395457957,10.669408428947696,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,9.033813708499146,10.90921508333284,10.520836236399195,random_selection,-0.1485721925485013,-1.412170945447116,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,5,5.072850836110772,12.34393703453621,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.686756745335494,11.851909089835678,11.50031792853879,random_selection,-0.843619105997421,-7.335615512888779,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,6,3.830816608143315,9.321653746482067,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,16.099886286878334,10.033313670679236,10.455054371652343,random_selection,1.1334006251702764,10.840695656670707,improved
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,7,5.539272205067345,13.478895698997206,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.100608735124778,14.521669406644811,13.39387676126489,random_selection,-0.0850189377323165,-0.6347597431849707,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,8,5.710031376693643,13.894409683287867,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,19.172664107208256,12.449606774236338,11.392419146526953,random_selection,-2.501990536760914,-21.961889784608747,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,9,4.662992269285093,11.34661452192706,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.870138758675177,10.60383994374444,11.344011885156444,random_selection,-0.002602636770616229,-0.02294282478689713,worse_or_equal
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,10,5.245299846742684,12.7635629604072,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.70625755497284,12.32326698310234,13.19059398374383,random_selection,0.4270310233366299,3.237390400029791,improved
Formation,set1_dQn_m,AE_ENet,exploitation,1,5.370597025280204,13.068452761515163,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.284110858066176,12.206740617268292,11.801472321329339,random_selection,-1.266980440185824,-10.735782838688293,worse_or_equal
Formation,set1_dQn_m,AE_ENet,exploitation,2,6.4508339608409875,15.69702930471307,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,19.44459517450821,13.433200526372708,16.039417493116687,random_selection,0.34238818840361773,2.134667225605628,improved
Formation,set1_dQn_m,AE_ENet,exploitation,3,5.023219348934013,12.2231670824061,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.332384155389589,11.731739402304637,11.464873311301599,random_selection,-0.7582937711045012,-6.614061494748542,worse_or_equal
