dataset,feature_set,model,trial,acquisition,alpha,cold_mape,full_pool_mape,attainable_gain_pp,positive_attainable_gain,pool_n,target_mape,status,continuous_labelled_n,continuous_pool_fraction,operational_labelled_n,operational_pool_fraction,operational_duration,duration_unit,nfp_percent,feature_model_label,acquisition_label,reached,required_pool_fraction_pct,required_full_life_tests,required_duration
Formation,set1_dQn_m,AE_ENet,1,coverage,0.95,14.047814186516344,11.717356640597606,2.3304575459187387,True,146,11.833879517893543,crossed,39.47079379486881,0.2703479027045809,48.0,0.3287671232876712,4550.0,cycles,95,FS 1+AE-ENet,Coverage,True,32.87671232876712,48.0,4550.0
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,0.95,14.047814186516344,11.717356640597606,2.3304575459187387,True,146,11.833879517893543,crossed,53.9186038767209,0.36930550600493767,60.0,0.410958904109589,5587.0,cycles,95,FS 1+AE-ENet,Diversity IT,True,41.0958904109589,60.0,5587.0
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,0.95,14.047814186516344,11.717356640597606,2.3304575459187387,True,146,11.833879517893543,crossed,17.869888831896827,0.1223964988486084,24.0,0.1643835616438356,2235.0,cycles,95,FS 1+AE-ENet,Diversity OS,True,16.43835616438356,24.0,2235.0
Formation,set1_dQn_m,AE_ENet,1,exploitation,0.95,14.047814186516344,11.717356640597606,2.3304575459187387,True,146,11.833879517893543,crossed,21.612904449614717,0.14803359212064876,24.0,0.1643835616438356,1889.0,cycles,95,FS 1+AE-ENet,Exploitation,True,16.43835616438356,24.0,1889.0
Formation,set1_dQn_m,AE_ENet,1,exploration,0.95,14.047814186516344,11.717356640597606,2.3304575459187387,True,146,11.833879517893543,crossed,32.198290243837164,0.22053623454682988,36.0,0.2465753424657534,3518.0,cycles,95,FS 1+AE-ENet,Exploration,True,24.65753424657534,36.0,3518.0
Formation,set1_dQn_m,AE_ENet,1,hybrid,0.95,14.047814186516344,11.717356640597606,2.3304575459187387,True,146,11.833879517893543,crossed,28.51452656340105,0.19530497646165101,36.0,0.2465753424657534,3764.0,cycles,95,FS 1+AE-ENet,Hybrid,True,24.65753424657534,36.0,3764.0
Formation,set1_dQn_m,AE_ENet,1,random_selection,0.95,14.047814186516344,11.717356640597606,2.3304575459187387,True,146,11.833879517893543,crossed,41.88830816944843,0.28690622033868785,48.0,0.3287671232876712,4682.0,cycles,95,FS 1+AE-ENet,Random,True,32.87671232876712,48.0,4682.0
Formation,set1_dQn_m,AE_ENet,2,coverage,0.95,26.362932816805547,13.714662681273182,12.648270135532364,True,146,14.347076188049801,crossed,81.80720501962483,0.5603233220522249,84.0,0.5753424657534246,7537.0,cycles,95,FS 1+AE-ENet,Coverage,True,57.534246575342465,84.0,7537.0
Formation,set1_dQn_m,AE_ENet,2,diversity_iterative,0.95,26.362932816805547,13.714662681273182,12.648270135532364,True,146,14.347076188049801,crossed,39.96204142545978,0.27371261250314916,48.0,0.3287671232876712,4100.0,cycles,95,FS 1+AE-ENet,Diversity IT,True,32.87671232876712,48.0,4100.0
Formation,set1_dQn_m,AE_ENet,2,diversity_oneshot,0.95,26.362932816805547,13.714662681273182,12.648270135532364,True,146,14.347076188049801,crossed,98.98980035576433,0.6780123312038653,108.0,0.7397260273972602,9728.0,cycles,95,FS 1+AE-ENet,Diversity OS,True,73.97260273972603,108.0,9728.0
