dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,8,31.402789772774803
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,16,32.31964654390514
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,24,30.43223039693128
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,32,26.89065835489657
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,40,15.442497152999987
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,48,14.154456189892109
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,56,14.54765609859986
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,64,16.96574741205432
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,72,16.836463509402414
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,80,16.666637762897913
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,88,17.92446778361888
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,96,16.481783126934264
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,1,99,16.91026606509311
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,8,21.12335927425383
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,16,19.76118864864185
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,24,14.61076632203919
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,32,12.200842736108449
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,40,10.754392637898524
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,48,10.717828449707492
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,56,10.586355787142883
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,64,10.195684532086876
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,72,10.995700837879037
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,80,11.1051744886782
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,88,10.910347021365602
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,96,10.848697064840245
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,2,99,10.893303640702472
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,8,15.085346167413231
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,16,20.937333098436163
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,24,12.58737429561595
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,32,11.43671678395974
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,40,12.931608776579218
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,48,12.171269000301498
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,56,10.71778172498685
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,64,10.94091938441188
MIT,set1_dQn_m,GPR,log,protocol_holdout,random_selection,3,72,11.128571309014797
