dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,8,30.58988164980004
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,16,41.3235350099329
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,24,39.53404018529192
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,32,10.93917330907285
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,40,20.531725550625342
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,48,28.30578322923192
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,56,23.81895144949825
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,64,36.54514345469939
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,72,51.339355377536414
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,80,61.66280658256392
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,88,66.05693807466024
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,96,67.91871337833786
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,1,99,63.6771066322561
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,8,53.35106020498183
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,16,30.80349138060676
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,24,42.842644244087786
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,32,27.816194574980685
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,40,13.288736313987856
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,48,12.12848711022354
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,56,11.483900721899449
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,64,11.382704392485596
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,72,10.831949242573431
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,80,10.498149145438218
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,88,10.623726772282922
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,96,10.81140608135797
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,2,99,10.764516559737398
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,8,24.26037190976212
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,16,18.649039628762026
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,24,23.36465124826444
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,32,14.588005796419615
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,40,13.80224184090956
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,48,13.227518800167529
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,56,13.075078645620556
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,64,13.970939974336538
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,72,14.460172670602608
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,80,14.499035408674802
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,88,14.110348314174152
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,96,14.206914185777244
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,3,99,14.197444041096803
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,8,25.166080531151746
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,16,21.97677358268418
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,24,21.34917262189245
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,32,20.300851894852133
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,40,18.391699712488084
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,48,11.646379743027111
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,56,11.449413853730135
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,64,12.674363749934706
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,72,11.969931489114046
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,80,12.769215783415014
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,88,13.264088529956371
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,96,13.504785003300531
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,4,99,13.976657758874849
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,8,19.615865172255216
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,16,23.279148174063906
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,24,9.70082865918226
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,32,10.644622243667875
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,40,11.152620595812156
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,48,11.518019386297077
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,56,10.161853392830054
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,64,10.35306351816453
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,72,10.598644518733272
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,80,10.192518181807367
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,88,10.110165499883207
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,96,9.588579842867446
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,5,99,9.63745260260491
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,8,22.151508371964013
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,16,14.749327179449438
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,24,15.587826832156365
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,32,14.916865827276991
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,40,18.060421115646896
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,48,18.52369349812126
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,56,22.16729774044814
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,64,19.13913537470607
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,72,18.66432131576706
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,80,20.816269720164808
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,88,21.23978051008232
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,96,19.789759687863096
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,6,99,19.6766608049646
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,8,22.22224110053257
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,16,19.15237528849088
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,24,13.602638571627642
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,32,13.136488830531787
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,40,17.010474636474047
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,48,14.388306456767111
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,56,13.032764230253877
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,64,12.454684778094292
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,72,13.263888372153133
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,80,12.655401276024564
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,88,12.148390202193363
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,96,11.655149211804838
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,7,99,11.626438481051537
MIT,set2_early_soh,GPR,log,protocol_holdout,random_selection,8,8,16.887706215420824
