dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,8,25.193800074148303
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,16,31.02115381424766
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,24,28.908627774716784
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,32,27.14825801735577
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,40,18.31957716921937
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,48,19.683800656747383
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,56,18.243925898818595
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,64,17.50750642453875
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,72,18.707372261980986
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,80,19.784667425562013
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,88,19.72389341704521
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,96,19.91865890597596
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,1,99,19.664564024779285
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,8,18.14470840733494
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,16,17.43604766156704
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,24,14.205140355365788
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,32,12.420748175604311
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,40,11.520683536686652
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,48,11.37682888175368
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,56,12.0285195338467
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,64,12.395332941702716
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,72,13.500116595411352
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,80,14.47831859825029
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,88,12.461645241343732
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,96,12.714183799337397
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,2,99,12.717509830104795
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,8,20.75750708633486
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,16,26.16476025880906
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,24,14.250478862751551
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,32,16.47103949810568
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,40,14.452630725764696
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,48,13.653051863308711
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,56,13.951872683669896
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,64,14.1288844848385
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,72,14.563096579795555
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,80,16.868067237943283
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,88,15.590345898085388
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,96,21.016899327078168
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,3,99,18.873832726529223
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,8,14.343257282094187
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,16,11.831306065135688
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,24,12.107491038438356
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,32,12.554663210481444
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,40,12.822473521814723
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,48,15.058998931658726
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,56,8.17754678740691
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,64,8.025052986049717
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,72,8.67883328575237
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,80,9.120349674143586
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,88,8.625737939648548
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,96,8.8128326051332
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,4,99,8.222585358970907
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,5,8,14.984906030520069
MIT,set4_features_metadata,GPR,log,protocol_holdout,random_selection,5,16,13.941183716643424
