dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,5,48,16.87653823093191
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,5,56,15.118337170482391
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,5,64,13.87165706452073
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,5,72,13.020003767132412
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,5,80,12.815019493359122
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,5,88,12.231666428725568
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,5,96,11.964820091204206
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,5,99,11.959781275991462
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,8,21.482651609119635
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,16,20.07682962073536
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,24,17.634041980186804
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,32,17.74380058943122
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,40,14.942267227331556
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,48,14.529961154588774
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,56,13.62522305051953
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,64,14.254281625379903
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,72,14.285028054860408
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,80,13.856992983611862
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,88,13.87581041119673
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,96,14.075356734328572
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,6,99,14.587724857718593
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,8,26.258948053381264
