dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,8,25.15512380117696
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,16,31.38488671362656
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,24,29.40225214457588
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,32,27.20366963366193
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,40,18.78008737842802
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,48,19.117038177799
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,56,18.34349257826369
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,64,18.45692402334673
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,72,19.65921927360604
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,80,20.320161453852467
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,88,20.27452548112681
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,96,20.148567253440405
MIT,set3_features,GPR,log,protocol_holdout,random_selection,1,99,20.106143053427765
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,8,17.509686399924014
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,16,17.30499414254699
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,24,12.527483413406369
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,32,11.848306156721504
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,40,12.250445622905213
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,48,11.897831328508378
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,56,11.139810126907596
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,64,11.946890280198453
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,72,13.791596470478998
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,80,14.406703080488862
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,88,12.048633572184936
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,96,11.864852970196736
MIT,set3_features,GPR,log,protocol_holdout,random_selection,2,99,12.00899183955939
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,8,14.38733212551004
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,16,20.61093544199082
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,24,17.51975458995902
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,32,15.824187512876003
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,40,15.519905682614407
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,48,15.24834865323054
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,56,15.31286001715689
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,64,15.5577829153249
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,72,16.595696428933802
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,80,29.429516465859784
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,88,24.830331252682942
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,96,28.696355389674373
MIT,set3_features,GPR,log,protocol_holdout,random_selection,3,99,22.423166888388167
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,8,11.862676610593088
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,16,12.414896785923473
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,24,10.646809389904298
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,32,9.747895272205971
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,40,11.935646337311082
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,48,10.260113983278048
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,56,9.36151580962096
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,64,9.0491547554659
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,72,10.242627190962176
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,80,10.077072885891225
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,88,10.004122983995622
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,96,9.443687100056382
MIT,set3_features,GPR,log,protocol_holdout,random_selection,4,99,9.03360753202288
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,8,13.426248852631923
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,16,12.684651794641455
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,24,17.94853172756956
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,32,15.814037260959877
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,40,16.584987610266072
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,48,15.476668486840213
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,56,14.53849437962168
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,64,14.266232484037666
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,72,14.229820561620862
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,80,14.207818062646012
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,88,13.45605703316346
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,96,12.935538219135626
MIT,set3_features,GPR,log,protocol_holdout,random_selection,5,99,12.838097862360016
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,8,19.01346837732118
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,16,19.23684653740216
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,24,16.798006977677023
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,32,16.412355306194517
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,40,13.934417639562756
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,48,14.74752330302602
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,56,13.444902369847805
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,64,13.734006385719493
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,72,14.553395317883275
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,80,14.018396583100484
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,88,13.877118214631604
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,96,14.052967493945255
MIT,set3_features,GPR,log,protocol_holdout,random_selection,6,99,14.19483676457106
MIT,set3_features,GPR,log,protocol_holdout,random_selection,7,8,27.590662608270826
MIT,set3_features,GPR,log,protocol_holdout,random_selection,7,16,17.278429928880268
MIT,set3_features,GPR,log,protocol_holdout,random_selection,7,24,12.043831090495791
MIT,set3_features,GPR,log,protocol_holdout,random_selection,7,32,12.0608385334994
MIT,set3_features,GPR,log,protocol_holdout,random_selection,7,40,10.628301579754456
MIT,set3_features,GPR,log,protocol_holdout,random_selection,7,48,11.705536591910136
MIT,set3_features,GPR,log,protocol_holdout,random_selection,7,56,11.9951275188995
