dataset,feature_set,model,trial,full_pool_mape,model_family
Formation,set3_features,RF,7,12.585226714934388,Primary ML
Formation,set3_features,RF,8,11.636450716901342,Primary ML
Formation,set3_features,RF,9,7.236840905982667,Primary ML
Formation,set3_features,RF,10,9.79893414841906,Primary ML
Formation,set4_features_metadata,AE_ENet,1,9.354303333854885,Primary ML
Formation,set4_features_metadata,AE_ENet,2,10.185733951595267,Primary ML
Formation,set4_features_metadata,AE_ENet,3,10.497587192339394,Primary ML
Formation,set4_features_metadata,AE_ENet,4,10.868438582745984,Primary ML
Formation,set4_features_metadata,AE_ENet,5,11.188732607556242,Primary ML
Formation,set4_features_metadata,AE_ENet,6,9.902370305916824,Primary ML
Formation,set4_features_metadata,AE_ENet,7,11.759372311994152,Primary ML
Formation,set4_features_metadata,AE_ENet,8,9.317592167260548,Primary ML
Formation,set4_features_metadata,AE_ENet,9,7.4649717642798,Primary ML
Formation,set4_features_metadata,AE_ENet,10,11.470816268150832,Primary ML
Formation,set4_features_metadata,GPR,1,10.015849858069902,Primary ML
Formation,set4_features_metadata,GPR,2,13.012400824037234,Primary ML
Formation,set4_features_metadata,GPR,3,10.699535297226165,Primary ML
Formation,set4_features_metadata,GPR,4,11.158605864082784,Primary ML
Formation,set4_features_metadata,GPR,5,13.282901508287337,Primary ML
Formation,set4_features_metadata,GPR,6,8.835673681845968,Primary ML
Formation,set4_features_metadata,GPR,7,11.228712853906538,Primary ML
Formation,set4_features_metadata,GPR,8,10.053579771877962,Primary ML
Formation,set4_features_metadata,GPR,9,7.94723030096357,Primary ML
Formation,set4_features_metadata,GPR,10,10.495984187896946,Primary ML
Formation,set4_features_metadata,RF,1,12.47868353634053,Primary ML
Formation,set4_features_metadata,RF,2,11.88780533724174,Primary ML
Formation,set4_features_metadata,RF,3,8.958937719896902,Primary ML
Formation,set4_features_metadata,RF,4,12.46136168982406,Primary ML
Formation,set4_features_metadata,RF,5,13.295685966692702,Primary ML
Formation,set4_features_metadata,RF,6,10.36701347448252,Primary ML
Formation,set4_features_metadata,RF,7,12.40520701112113,Primary ML
Formation,set4_features_metadata,RF,8,12.092715668366035,Primary ML
Formation,set4_features_metadata,RF,9,7.112158453543681,Primary ML
Formation,set4_features_metadata,RF,10,9.79886386209879,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,1,9.553148389021755,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,2,10.236117971244438,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,3,10.511651239875572,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,4,10.97805141378175,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,5,11.094799980047828,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,6,9.900716224131328,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,7,11.546206041647324,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,8,9.377505301347243,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,9,7.62186228787524,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,10,11.433975512024466,Primary ML
Formation,set5_features_metadata_corr95,GPR,1,10.078142057827543,Primary ML
