dataset,feature_set,model,full_pool_mape,n_trials
MIT,set1_dQn_m,RF,14.533956149084522,10
MIT,set2_early_soh,AE_ENet,16.620261301031352,10
MIT,set2_early_soh,GPR,18.58812605904599,10
MIT,set2_early_soh,RF,19.29506184668483,10
MIT,set3_features,AE_ENet,12.462220842422266,10
MIT,set3_features,GPR,13.84407692593633,10
MIT,set3_features,RF,13.575275626334355,10
MIT,set4_features_metadata,AE_ENet,12.55555816689463,10
MIT,set4_features_metadata,GPR,13.061440958399903,10
MIT,set4_features_metadata,RF,12.880338080951137,10
MIT,set5_features_metadata_corr95,AE_ENet,12.486543073043226,10
MIT,set5_features_metadata_corr95,GPR,12.290062548895609,10
MIT,set5_features_metadata_corr95,RF,12.58663497285823,10
TRI_Tesla,set1_dQn_m,AE_ENet,26.076168559600454,10
TRI_Tesla,set1_dQn_m,GPR,20.783874038711442,10
TRI_Tesla,set1_dQn_m,RF,23.74597563549415,10
TRI_Tesla,set2_early_soh,AE_ENet,37.14578779963357,10
TRI_Tesla,set2_early_soh,GPR,23.856221522584406,10
TRI_Tesla,set2_early_soh,RF,26.9473888576582,10
TRI_Tesla,set3_features,AE_ENet,23.517274814262393,10
TRI_Tesla,set3_features,GPR,24.211409409942398,10
TRI_Tesla,set3_features,RF,24.236182949379515,10
TRI_Tesla,set4_features_metadata,AE_ENet,17.599826799148858,10
TRI_Tesla,set4_features_metadata,GPR,18.288126743953548,10
TRI_Tesla,set4_features_metadata,RF,23.2239609669136,10
TRI_Tesla,set5_features_metadata_corr95,AE_ENet,17.95301363222459,10
TRI_Tesla,set5_features_metadata_corr95,GPR,16.029108741540597,10
TRI_Tesla,set5_features_metadata_corr95,RF,22.864917901497165,10
