dataset,feature_set,model,attainable_gain_pp,n_trials
TRI_Tesla,set1_dQn_m,RF,19.794561482997835,10
TRI_Tesla,set2_early_soh,AE_ENet,-1.564797187264412,10
TRI_Tesla,set2_early_soh,GPR,31.549992584685658,10
TRI_Tesla,set2_early_soh,RF,27.229453802354033,10
TRI_Tesla,set3_features,AE_ENet,7.8572759840981545,10
TRI_Tesla,set3_features,GPR,21.50882903319272,10
TRI_Tesla,set3_features,RF,21.80313872973087,10
TRI_Tesla,set4_features_metadata,AE_ENet,13.904727461792353,10
TRI_Tesla,set4_features_metadata,GPR,20.777925033864197,10
TRI_Tesla,set4_features_metadata,RF,22.723809693053703,10
TRI_Tesla,set5_features_metadata_corr95,AE_ENet,14.433458025523757,10
TRI_Tesla,set5_features_metadata_corr95,GPR,21.088863654799372,10
TRI_Tesla,set5_features_metadata_corr95,RF,22.404914465300948,10
