dataset,feature_set,model,full_pool_mape,n_trials,model_family
LSD_Second,set5_features_metadata_corr95,RF,26.827755607198412,10,Primary ML
MIT,set1_dQn_m,AE_ENet,16.886159879520577,10,Primary ML
MIT,set1_dQn_m,GPR,10.034042193790876,10,Primary ML
MIT,set1_dQn_m,RF,14.533956149084522,10,Primary ML
MIT,set2_early_soh,AE_ENet,16.620261301031352,10,Primary ML
MIT,set2_early_soh,GPR,18.58812605904599,10,Primary ML
MIT,set2_early_soh,RF,19.29506184668483,10,Primary ML
MIT,set3_features,AE_ENet,12.462220842422266,10,Primary ML
MIT,set3_features,GPR,13.84407692593633,10,Primary ML
MIT,set3_features,RF,13.575275626334355,10,Primary ML
MIT,set4_features_metadata,AE_ENet,12.55555816689463,10,Primary ML
MIT,set4_features_metadata,GPR,13.061440958399903,10,Primary ML
MIT,set4_features_metadata,RF,12.880338080951137,10,Primary ML
MIT,set5_features_metadata_corr95,AE_ENet,12.486543073043226,10,Primary ML
MIT,set5_features_metadata_corr95,GPR,12.290062548895609,10,Primary ML
MIT,set5_features_metadata_corr95,RF,12.58663497285823,10,Primary ML
TRI_Tesla,set1_dQn_m,AE_ENet,26.076168559600454,10,Primary ML
TRI_Tesla,set1_dQn_m,GPR,20.783874038711442,10,Primary ML
TRI_Tesla,set1_dQn_m,RF,23.74597563549415,10,Primary ML
TRI_Tesla,set2_early_soh,AE_ENet,37.14578779963357,10,Primary ML
TRI_Tesla,set2_early_soh,GPR,23.856221522584406,10,Primary ML
TRI_Tesla,set2_early_soh,RF,26.9473888576582,10,Primary ML
TRI_Tesla,set3_features,AE_ENet,23.517274814262393,10,Primary ML
TRI_Tesla,set3_features,GPR,24.211409409942398,10,Primary ML
TRI_Tesla,set3_features,RF,24.236182949379515,10,Primary ML
TRI_Tesla,set4_features_metadata,AE_ENet,17.599826799148858,10,Primary ML
TRI_Tesla,set4_features_metadata,GPR,18.288126743953548,10,Primary ML
TRI_Tesla,set4_features_metadata,RF,23.2239609669136,10,Primary ML
TRI_Tesla,set5_features_metadata_corr95,AE_ENet,17.95301363222459,10,Primary ML
TRI_Tesla,set5_features_metadata_corr95,GPR,16.029108741540597,10,Primary ML
TRI_Tesla,set5_features_metadata_corr95,RF,22.864917901497165,10,Primary ML
Formation,set1_dQn_m,CNN,16.190906274482025,10,Deep learning
Formation,set1_dQn_m,DeepVAE,11.52515526727754,10,Deep learning
Formation,set1_dQn_m,MLP,12.010432871511316,10,Deep learning
Formation,set1_dQn_m,TabNet,18.370966857216914,10,Deep learning
Formation,set2_early_soh,CNN,16.876981065507252,10,Deep learning
Formation,set2_early_soh,DeepVAE,16.88371355576279,10,Deep learning
Formation,set2_early_soh,MLP,16.28572892633492,10,Deep learning
Formation,set2_early_soh,TabNet,19.67355881313862,10,Deep learning
Formation,set3_features,CNN,11.879181023562028,10,Deep learning
Formation,set3_features,DeepVAE,11.491928856222215,10,Deep learning
Formation,set3_features,MLP,11.318045069430905,10,Deep learning
Formation,set3_features,TabNet,16.888204298787628,10,Deep learning
Formation,set4_features_metadata,CNN,13.22044768538313,10,Deep learning
Formation,set4_features_metadata,DeepVAE,11.253291274350243,10,Deep learning
Formation,set4_features_metadata,MLP,10.917771599393966,10,Deep learning
Formation,set4_features_metadata,TabNet,18.64039131974428,10,Deep learning
Formation,set5_features_metadata_corr95,CNN,13.141872639609613,10,Deep learning
Formation,set5_features_metadata_corr95,DeepVAE,11.19967069974002,10,Deep learning
Formation,set5_features_metadata_corr95,MLP,10.85480860321925,10,Deep learning
Formation,set5_features_metadata_corr95,TabNet,17.445970331259147,10,Deep learning
HUST,set1_dQn_m,CNN,18.314107390050975,10,Deep learning
HUST,set1_dQn_m,DeepVAE,11.64350979456224,10,Deep learning
HUST,set1_dQn_m,MLP,12.086891486903028,10,Deep learning
HUST,set1_dQn_m,TabNet,16.764357452283626,10,Deep learning
HUST,set2_early_soh,CNN,22.052185455939803,10,Deep learning
HUST,set2_early_soh,DeepVAE,21.637401380173184,10,Deep learning
HUST,set2_early_soh,MLP,23.780329975556416,10,Deep learning
HUST,set2_early_soh,TabNet,19.56009233838167,10,Deep learning
HUST,set3_features,CNN,15.622087886208481,10,Deep learning
HUST,set3_features,DeepVAE,12.883028458890369,10,Deep learning
HUST,set3_features,MLP,12.740327130670806,10,Deep learning
HUST,set3_features,TabNet,16.037815027525156,10,Deep learning
HUST,set4_features_metadata,CNN,16.50833367797869,10,Deep learning
HUST,set4_features_metadata,DeepVAE,12.58828476047323,10,Deep learning
HUST,set4_features_metadata,MLP,13.178463917204246,10,Deep learning
HUST,set4_features_metadata,TabNet,17.879702569479008,10,Deep learning
HUST,set5_features_metadata_corr95,CNN,15.369976096391804,10,Deep learning
HUST,set5_features_metadata_corr95,DeepVAE,14.787987241213392,10,Deep learning
HUST,set5_features_metadata_corr95,MLP,13.568534389607176,10,Deep learning
HUST,set5_features_metadata_corr95,TabNet,17.609260526977447,10,Deep learning
ISU_ILCC,set1_dQn_m,CNN,31.966132213937875,10,Deep learning
ISU_ILCC,set1_dQn_m,DeepVAE,22.66911565281747,10,Deep learning
ISU_ILCC,set1_dQn_m,MLP,23.636883124865353,10,Deep learning
ISU_ILCC,set1_dQn_m,TabNet,38.78972603779228,10,Deep learning
ISU_ILCC,set2_early_soh,CNN,35.17849468047886,10,Deep learning
ISU_ILCC,set2_early_soh,DeepVAE,33.58356160487848,10,Deep learning
ISU_ILCC,set2_early_soh,MLP,35.030789666265534,10,Deep learning
ISU_ILCC,set2_early_soh,TabNet,38.05422981888063,10,Deep learning
ISU_ILCC,set3_features,CNN,25.54087952717759,10,Deep learning
ISU_ILCC,set3_features,DeepVAE,26.658401540481798,10,Deep learning
ISU_ILCC,set3_features,MLP,25.741330815796385,10,Deep learning
ISU_ILCC,set3_features,TabNet,33.913565461379264,10,Deep learning
ISU_ILCC,set4_features_metadata,CNN,21.38288668954481,10,Deep learning
ISU_ILCC,set4_features_metadata,DeepVAE,22.243587181162404,10,Deep learning
ISU_ILCC,set4_features_metadata,MLP,21.47073551605363,10,Deep learning
ISU_ILCC,set4_features_metadata,TabNet,29.19972623598439,10,Deep learning
ISU_ILCC,set5_features_metadata_corr95,CNN,21.04025650689714,10,Deep learning
ISU_ILCC,set5_features_metadata_corr95,DeepVAE,22.243587181162404,10,Deep learning
ISU_ILCC,set5_features_metadata_corr95,MLP,21.47073551605363,10,Deep learning
