index,dataset,feature_set,regressor,method,labelled_pool_fraction_pct,labeled_train_count,max_budget_mean,error_reduction_mean_pp,error_reduction_sd_pp,n_trials,error_reduction_sem_pp
0,Formation,set1_dQn_m,AE_ENet,coverage,8.219178082191782,12,146,0.0,0.0,10,0.0
1,Formation,set1_dQn_m,AE_ENet,coverage,16.438356164383563,24,146,-0.6462565857337672,2.3898909738956333,10,0.7557498836988212
2,Formation,set1_dQn_m,AE_ENet,coverage,24.65753424657534,36,146,-0.2244148412139058,2.343129674327806,10,0.7409626624004431
3,Formation,set1_dQn_m,AE_ENet,coverage,32.87671232876713,48,146,-0.8429437704434557,1.237113515502144,10,0.3912096433164798
4,Formation,set1_dQn_m,AE_ENet,coverage,41.0958904109589,60,146,-0.5494191803096063,1.3379792465235478,10,0.4231061881050336
5,Formation,set1_dQn_m,AE_ENet,coverage,49.31506849315068,72,146,-0.060590629004317796,0.8319219848933798,10,0.26307683078312705
6,Formation,set1_dQn_m,AE_ENet,coverage,57.534246575342465,84,146,-0.2897051134002627,0.7684873642476137,10,0.24301704240819086
7,Formation,set1_dQn_m,AE_ENet,coverage,65.75342465753425,96,146,-0.49421709153192983,0.6443686345331043,10,0.20376725378972385
8,Formation,set1_dQn_m,AE_ENet,coverage,73.97260273972603,108,146,-0.5795166859785175,0.6081463911995919,10,0.19231277470024893
9,Formation,set1_dQn_m,AE_ENet,coverage,82.1917808219178,120,146,-0.2591300837825365,0.4916897316446611,10,0.15548594541140973
10,Formation,set1_dQn_m,AE_ENet,coverage,90.41095890410959,132,146,-0.45823999305035645,0.3683914193543998,10,0.11649559556221395
11,Formation,set1_dQn_m,AE_ENet,coverage,98.63013698630137,144,146,0.0314812025680947,0.24965765632884426,10,0.0789486829298699
12,Formation,set1_dQn_m,AE_ENet,coverage,100.0,146,146,0.0,0.0,10,0.0
13,Formation,set1_dQn_m,AE_ENet,diversity_iterative,8.219178082191782,12,146,2.88381769739287,4.766681815382539,10,1.507357141791506
14,Formation,set1_dQn_m,AE_ENet,diversity_iterative,16.438356164383563,24,146,0.018724102011491793,3.366270147432808,10,1.0645080885318485
15,Formation,set1_dQn_m,AE_ENet,diversity_iterative,24.65753424657534,36,146,0.10194794666266498,2.6070404139269576,10,0.8244185660117342
16,Formation,set1_dQn_m,AE_ENet,diversity_iterative,32.87671232876713,48,146,1.2439911142846332,2.4548237918618874,10,0.7762834436654678
17,Formation,set1_dQn_m,AE_ENet,diversity_iterative,41.0958904109589,60,146,1.0602653233755501,2.1264324884835606,10,0.6724369954187818
18,Formation,set1_dQn_m,AE_ENet,diversity_iterative,49.31506849315068,72,146,0.9843974919431588,1.8857566328303472,10,0.5963286072513752
19,Formation,set1_dQn_m,AE_ENet,diversity_iterative,57.534246575342465,84,146,0.15628269953062085,1.410443199807699,10,0.4460213021688292
20,Formation,set1_dQn_m,AE_ENet,diversity_iterative,65.75342465753425,96,146,-0.05552494395821963,0.9033946928234429,10,0.28567848554302483
21,Formation,set1_dQn_m,AE_ENet,diversity_iterative,73.97260273972603,108,146,-0.006674552821952151,0.9585930110464134,10,0.3031337264025613
22,Formation,set1_dQn_m,AE_ENet,diversity_iterative,82.1917808219178,120,146,0.2792564767557355,0.6262347628926221,10,0.1980328200716181
23,Formation,set1_dQn_m,AE_ENet,diversity_iterative,90.41095890410959,132,146,0.1527102100492302,0.560697526844624,10,0.17730812632524146
24,Formation,set1_dQn_m,AE_ENet,diversity_iterative,98.63013698630137,144,146,0.04318821489793763,0.2562993340020971,10,0.08104896582308654
25,Formation,set1_dQn_m,AE_ENet,diversity_iterative,100.0,146,146,0.0,0.0,10,0.0
26,Formation,set1_dQn_m,AE_ENet,diversity_oneshot,8.219178082191782,12,146,2.88381769739287,4.766681815382539,10,1.507357141791506
27,Formation,set1_dQn_m,AE_ENet,diversity_oneshot,16.438356164383563,24,146,-0.08278377491176343,4.220153591523194,10,1.3345297424953146
28,Formation,set1_dQn_m,AE_ENet,diversity_oneshot,24.65753424657534,36,146,0.26729390365225336,2.43446707060892,10,0.7698460831802144
